Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.4, 'enhanced': 0.5, 'levenshtein': 0.0}, Average Accuracy: 39.51%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.5, 'enhanced': 0.0, 'levenshtein': 0.4}, Average Accuracy: 48.83%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.5, 'enhanced': 0.1, 'levenshtein': 0.3}, Average Accuracy: 46.94%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.5, 'enhanced': 0.2, 'levenshtein': 0.2}, Average Accuracy: 45.14%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.5, 'enhanced': 0.4, 'levenshtein': 0.0}, Average Accuracy: 40.84%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.6, 'enhanced': 0.0, 'levenshtein': 0.3}, Average Accuracy: 48.73%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.6, 'enhanced': 0.1, 'levenshtein': 0.2}, Average Accuracy: 46.86%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.6, 'enhanced': 0.3, 'levenshtein': 0.0}, Average Accuracy: 42.23%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.7, 'enhanced': 0.0, 'levenshtein': 0.2}, Average Accuracy: 48.64%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.7, 'enhanced': 0.2, 'levenshtein': 0.0}, Average Accuracy: 44.99%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.8, 'enhanced': 0.0, 'levenshtein': 0.1}, Average Accuracy: 48.57%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.8, 'enhanced': 0.1, 'levenshtein': 0.0}, Average Accuracy: 46.72%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.1, 'difflib': 0.9, 'enhanced': 0.0, 'levenshtein': 0.0}, Average Accuracy: 48.49%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.0, 'enhanced': 0.0, 'levenshtein': 0.8}, Average Accuracy: 47.16%
Weights: {'jaccard': 0.0, 'cosine': 0.0, 'synonym': 0.2, 'difflib': 0.0, 'enhanced': 0.1, 'levenshtein': 0.7}, Average Accuracy: 45.27%
